,subject_code,subject_name,text,answer1,answer2,answer3,answer4,correct_1_to_4
0,LOGIC,Basic logic questions,На игральном кубике общее число точек на любых двух противоположных гранях равно 7. Дженни склеила столбик из 6 таких кубиков и подсчитала общее число точек на всех наружных гранях. Какое самое большое число она могла получить?,106,96,95,91,2
1,LOGIC,Basic logic questions,"Если бы у красного дракона было на 6 голов больше, чем у зеленого, то у них было бы 34 головы на двоих. Но у красного дракона на 6 голов меньше, чем у зеленого. Сколько голов у красного дракона?",6,8,12,14,2
2,LOGIC,Basic logic questions,"Произведение 2001 положительного целого числа равно 105, а их сумма равна 2021.Чему равно самое большое из этих чисел?",15,30,21,105,1
3,LOGIC,Basic logic questions,У скольких четных натуральных чисел количество натуральных делителей (включая 1 и само число) равно 5?,0,1,3,5,2
4,LOGIC,Basic logic questions,Сколько процентов 8 процентов составляют от 40 процентов?,5%,15%,20%,25%,3
5,LOGIC,Basic logic questions,"Даже когда верблюд Дезире хочет пить, 84% его веса составляет вода. После того, как он напьется воды, его вес станет равным 800 кг, а вода будет составлять 85% его веса. Сколько весит Дезире, когда испытывает жажду?",672 кг,680 кг,720 кг,750 кг,4
6,LOGIC,Basic logic questions,"Сколько существует таких натуральных $n$, что остаток от деления 2003 на $n$ равен 23?",22,19,13,12,1
7,LOGIC,Basic logic questions,Чему равна сумма $|2 - \sqrt{5}| + |3 - \sqrt{5}| $?,$5-2\sqrt{5}$,$2\sqrt{5}-5$,$1$,$5$,3
8,LOGIC,Basic logic questions,"Имеется 6 палочек с длинами 2, 4, 4, 10, 22, 37 см. Сколько различных равнобедренных трапеций можно сложить, каждый раз используя все палочки?",1,2,3,4,3
9,LOGIC,Basic logic questions,Любитель арифметики перемножил первые 2019 простых числа. На сколько нулей оканчивается произведение?,0,1,10,100,2
10,LOGIC,Basic logic questions,"Если $x$ – квадрат натурального числа, то следующий квадрат натурального числа – это",$x+1$,$x^2+2x+1$,$x^2+1$,$x+2\sqrt{x}+1$,4
11,LOGIC,Basic logic questions,"По определению, $n! = 1 \cdot 2 \cdot 3 \cdot \ldots \cdot n.$ Какой сомножитель нужно вычеркнуть из произведения $1! \cdot 2! \cdot 3! \cdot 4! \cdot \ldots \cdot 100!$, чтобы оставшееся произведение стало квадратом некоторого натурального числа?",$13!$,$42!$,$50!$,это не возможно,3
12,DISCRETKA,Discrete Math,Сколько существует логических функций от одной переменной?,1,2,4,бесконечно,3
13,DISCRETKA,Discrete Math,Какая операция над множествами называется одноместной?,объединение,пересечение,дополнение,симметрическая разность,3
14,DISCRETKA,Discrete Math,"Укажите количество всех подмножеств множества $\{0,1,2,3\}$",4,8,16,9,3
15,DISCRETKA,Discrete Math,"Какие переменные называются фиктивными для функции $f(x_1,\ldots, x_n)$?",если от них не зависит значение функции,"если $f(0, 0, \ldots,0)=0$",если они принимают нулевое значение,"если $f(1, 1, \ldots,1)=1$",1
16,DISCRETKA,Discrete Math,"Сколько строк в таблице истинности для функции $f(x,y) = x\vee y$?",$2^0$,$2^1$,$2^2$,$2^{2^2}$,3
17,DISCRETKA,Discrete Math,Что представляет собой универсальное множество?,это эквивалент для сравнения,это декартово произведение на множестве,"имеет то свойство, при котором включает все подмножества для входного множества","имеет такую особенность, когда все множества являются ее подмножествами",4
18,DISCRETKA,Discrete Math,Сколько существует логических функций от двух переменных?,4,8,12,16,4
19,DISCRETKA,Discrete Math,Жители Испании избегают числа 3. Поэтому при нумерации этажей зданий после 2 идёт 4. Сколько положительных чисел из сотни не имеют тройки?,90,86,81,80,3
20,PROB,Probability and Statistics,"Вероятность распределения дискретной величины $X$ в области $x=0,1,2:$ $P(X=0)=0.11;$ $P(X=1)=0.29;$ $P(X=2)=a$. Найдите значение $a$.",0.18,0.89,0.60,0.71,3
21,DISCRETKA,Discrete Math,"Двое взрослых и пятеро детей собираются поехать на минивэне. Впереди два места, посредине два места, сзади три места. Если вперёд сядут взрослые, то сколькими способами можно посадить детей в середину?",2,5,10,20,3
22,PROB,Probability and Statistics,"Каким будет пространство элементарных событий $S$, в котором мы бросаем пару костей, одну красную и одну зеленую?","$S = \{(1,1), (2,2), (3,3), (4,4), (5,5), (6,6)\}$","$S = \{(x,y) | 1\leq x \leq 6,   1\leq y \leq 6\}$","$S = \{(x,y) | 0\leq x \leq 6,   0\leq y \leq 6\}$",$S = \emptyset$,2
23,PROB,Probability and Statistics,"Найдите все возможные значения вероятности события $P(A\cap B) $, если известно, что $P(A)=0.25$ и $P(B)=0.8$?",$0.05 \leq P(A\cap B) \leq 0.25$,$0.25 \leq P(A\cap B) \leq 0.8$,$0\leq P(A\cap B) \leq 0.25$,$0 \leq P(A\cap B) \leq 0.8$,1
24,PROB,Probability and Statistics,"Пусть $A$ и $B$ будут такими событиями, что $P(A)=\frac{1}{2}=P(B)$ и $P(A^c \cap B^c)=\frac{1}{3}$. Найдите вероятность события $A^c \cup B^c$. 
(где $P(A^c)=1-P(A)$)",3/4,1/3,2/3,5/6,3
25,PROB,Probability and Statistics,"Ящик содержит 4 черных, 6 коричневых и 8 красных шаров. Два шара выбираются случайным образом из ящика. Какова вероятность того, что оба шара одного цвета?",43/153,34/153,49/159,24/153,3
26,PROB,Probability and Statistics,"Ящик содержит 6 черных, 4 коричневых и 8 красных шаров. Два шара выбираются случайным образом из ящика. Какова вероятность того, что оба шарика красного цвета, если известно, что они одного цвета?",$\frac{4900}{153}$%,$\frac{2800}{153}$%,$\frac{400}{7}$%,$\frac{400}{49}$%,3
27,PROB,Probability and Statistics,Коэффициент корреляции (r) характеризует величину отражающую степень взаимосвязи двух переменных между собой. Он может варьировать в пределах от:,$0 \leq r \leq 1$,$-1 \leq r \leq 1$,$-2 \leq r \leq 2$,$0 \leq r \leq 10$,2
28,PROB,Probability and Statistics,"Найдите дисперсию случайной величины $X$, заданной дискретным рядом распределения:
    $x_i$ | -1 | 2 |  5 | 10 | 20 
    $p_i$ |  0.1|0.2|0.3|0.3| 0.1 
(используя формулу для дисперсии дискретной случайной величины: $D(X)=M(X^2)-(M(X))^2$",6.80,78.40,32.16,46.24,3
29,PROB,Probability and Statistics,"Вычислить математическое ожидание дискретной случайной величины $X$, заданной рядом:
    $x_i$ | -1 | 2 |  5 | 10 | 15
    $p_i$ |  0.1|0.2|0.4|0.2| 0.1",5.8,6.8,7.12,6.0,1
30,PROB,Probability and Statistics,"Ящики с конфетами упаковываются автоматически. Их средняя масса равна 1,06 кг. Известно, что 5% ящиков имеют массу, меньшую 1 кг. Каков процент ящиков, масса которых превышает 940 г?",менее 99.50%,более 98.95%,менее 98.55%,более 99.95%,4
31,ALGEBRA,Algebra,"Матрица $B$ называется обратной для квадратной матрицы $A$ порядяка $n$, если выполняется условие с единичной матрицей $E$:",$AB^{-1}=A^{-1}B=E$,$A+B=E$,$AE=E$,$AB = BA = E$,4
32,ALGEBRA,Algebra,"Чему равен определитель матрицы 
A = 
  2  1  3   -1
  4  3  7   -3
  6  3 12  -5
  8  4   6  1",12,-3,3,6,4
33,ALGEBRA,Algebra,"Рассмотрим систему линейных однородных уравнений $Ax = 0$. Пусть ранг матрицы системы $A$ равен $r$, размерность матрицы системы равна $n$. Какое из этих утверждений верно:","Если $n = r$, то система имеет $n$ решений","Если $n = r$, то система имеет единственное решение","Если $n = r$, то система не имеет решений","Если $n$ < $r$, то система имеет $n$ решений",2
34,PROB,Probability and Statistics,Какова вероятность получить ровно пять орлов при пробрасывании симметричной монетки десять раз?,$\frac{2^5}{C^5_{10}}$,$\frac{2^5}{2^{10}}$,$\frac{1}{2}$,$\frac{C^5_{10}}{2^{10}}$,4
35,LOGIC,Basic logic questions,Чему равна сумма $\Sigma^{100}_{n=1}n$,$10000$,$1010$,$5000$,$5050$,4
36,ALGEBRA,Algebra,Решите уравнение: $7^{x+1} + 7^{x-1} = 50$,0,1,2,3,2
37,ALGEBRA,Algebra,Дано уравнение  $2^x = \frac{1}{2^y}$. Найдите $x+y = ?$,$1$,неизвестно,$-1$,$0$,4
38,ALGEBRA,Algebra,"Дана система  $\left\{ \begin{aligned}  ab=a^b\\ \frac{a}{b}=a^{3b} \end{aligned} \right.$, где $a$ и $b$ действительные числа, такие, что $a$ > 1 и $b \neq$ 0. Найдите $b^{-a}$.",$9$,$16$,$25$,$36$,2
39,ALGEBRA,Algebra,"Какова сумма всех целочисленных значений $x$ таких, что $(x^2+17x+71)^{(x^2-34x+240)}=1$.",$240$,$71$,$34$,$17$,4
40,LOGIC,Basic logic questions,"Сколько из следующих  $99$ целых чисел являются простыми?
 $100!+2, 100!+3, 100!+4, \ldots, 100!+100$.",$5$,$3$,$1$,$0$,4
41,PY_ML,Python Machine Learning,Что является верным утверждением для алгоритма $k$-nearest neighbors?,Он может использоваться для классификации,Он может использоваться для регрессии,Он может использоваться для классификации и для регрессии,Он может использоваться построения нейронных сетей,3
42,PY_EASY,Python Easy,"Каков результат печати команды 
print(str[0]), если str = 'Hello World!'?",Hello World!,ello World!,Hello,H,4
43,PY_EASY,Python Easy,"Каков результат печати команды:
print tuple[2:], если tuple = ('abcd', 786, 2.33, 'john', 70.2)?","(2.33, 'john', 70.2)","(786, 2.33)","('john', 70.2)","('abcd', 786, 2.33, 'john', 70.2)",1
44,PY_EASY,Python Easy,"Сколько раз выполнится тело цикла в следующем фрагменте кода:
i = 10
while i >= 10:
   i = i + 1",один раз,девять раз,бесконечно,десять раз,3
45,PY_EASY,Python Easy,"Что выведет следующий программный код:
a = 3
a = `foo' if a/2 == 1 else 2
a = a + a
print(a)",возникнет ошибка,2,4,foofoo,3
46,PY_EASY,Python Easy,"Чему равна переменная L2?
L1 = [2,3,4]
L2 = L1[:]
L1[0] = 24","$[2,3,4]$","$[4,3,2]$","$[24,3,4]$","$[24,4,3]$",1
47,PY_EASY,Python Easy,"Что выведет следующий программный код:
for i in range(3):
  if i < 1:
    print(i, end='')
  else:
    print(i, end='')
    break",0,01,012,Возникнет ошибка,2
48,PY_EASY,Python Easy,"Каким будет результат следующего программного кода:
a = 3
b = 5
a = b
b = a
print(a,b)",5 3,3 5,5 5,"Выйдет сообщение об ошибке, т.к. нельзя присваивать несколько значений одной переменной",3
49,LOGIC,Basic logic questions,"Для выпечки 4 пирожных требуется 4 повара и 4 часа. Предполагая, что скорость не изменится, сколько часов потребуется 8 поварам для выпечки 8 пирожных?",$2$,$4$,$6$,$8$,2
50,LOGIC,Basic logic questions,Чему равно отношение удвоенного квадрата утроенного куба ненулевого числа $a$ к утроенному кубу удвоенного квадрата этого же числа?,3/4,4/3,3/2,9/2,1
51,LOGIC,Basic logic questions,"Оса вылетела из пункта А в пункт Б с начальной скоростью 1 м/с. Расстояние между пунктами 6000 м. За какое время долетит оса, если известно, что через каждый метр её скорость удваивается? (ответ можно округлить)",не долетит,2 сек,5 сек,100 мин,2
52,PY_ML,Python Machine Learning,Задача регрессии сводится к ...?,нахождению частых зависимостей между объектами или событиями,определению класса объекта по его характеристиками,определению по известным характеристиками объекта значение некоторого его параметра,поиску независимых групп и их характеристик в всем множестве анализируемых данных,3
53,PY_ML,Python Machine Learning,Задача кластеризации сводится к ...?,нахождению частых зависимостей между объектами или событиями,определению класса объекта по его характеристиками,определению по известным характеристиками объекта значение некоторого его параметра,поиску независимых групп и их характеристик в всем множестве анализируемых данных,4
54,ALGEBRA,Algebra,"Даны матрицы
B = 
     2 3
     5 7
C = 
     2 0 
     0 1
D =  
     -7  3
     5 -2
$A = B \cdot C \cdot D$, найдите значение определителя  $det(A^2)$",4,-41,18,1890,1
55,PY_HARD,Python Hard,"Каким будет результат следующего программного кода:
s = 0
for i in range(3):
    for j in range(5):
        if j > i:
            break
        s += i            
print(s)",11,8,6,3,2
56,PY_HARD,Python Hard,"Каким будет результат следующего программного кода:
n = 9871
length = 0
while True:
    length += 1
    n //= 10
    if n == 0:
        break
print(length)",1,2,3,4,4
57,PY_HARD,Python Hard,"Каким будет результат следующего программного кода:
a = [[1, 2, 3, 4], [5, 6], [7, 8, 9]]
s = 0
for row in a:
    for elem in row:
        s += len(row) - elem
print(s)",29,74,-16,-45,3
58,PY_EASY,Python Easy,"Каков результат печати команды 
print(string.split()[0][1]), если string = 'Hello World!'?",Hello,H,World!,e,4
59,PY_HARD,Python Hard,"Каким будет результат следующего программного кода:
a = [[1, 2, 3, 4], [5, 6], [7, 8, 9]]
t = 0
for row in a:
    for elem in row:
        t += elem % 5
print(t)",45,25,20,10,3
60,PY_HARD,Python Hard,"Каким будет результат следующего программного кода:
n = 3
m = 4
a = [[0] * m] * n
a[0][0] = 5
a[0][1] = 3
print(a[1][1]+a[1][2])",0,3,5,8,2
61,PY_HARD,Python Hard,"Каким будет результат следующего программного кода:
n = 2
a = [0] * n
s = 0
for i in range(n):
    a[i] = [2] * i + [1] + [0] * (n - i - 1)
    for j in a[i]:
      s += j
print(s)",1,2,3,4,4
62,PY_HARD,Python Hard,"Каким будет результат следующего программного кода:
n, m, s = 3, 3, 0
a = [[i+j for j in range(m)] for i in range(n)]
for i in range(n):
    s = sum(a[i])
print(s)",18,9,6,3,2
63,PY_HARD,Python Hard,"Каким будет результат следующего программного кода:
n, m, s = 3, 3, 0
a = [[i+j for j in range(m)] for i in range(n)]
for i in range(n):
    s += sum(a[i])
print(s)",3,6,9,18,4
64,PY_HARD,Python Hard,"Каким будет результат следующего программного кода:
a = [1, 2, 3]
b = [4, 5]
c = a + b
d = [7, 8] + [9] * 2
print(d + c)","[1, 2, 3, 4, 5, 7, 8, 9, 9]","[1, 2, 3, 4, 5, 7, 8, 9]","[7, 8, 9, 9, 1, 2, 3, 4, 5]","[7, 8, 9, 1, 2, 3, 4, 5]",3
65,PY_HARD,Python Hard,"Каким будет результат следующего программного кода:
a = ['1', '2', '3', '4', '5']
s = ''.join(a[1:3])*2
print(s)",2323,234234,1 2 3 4 5,1234512345,1
66,PY_HARD,Python Hard,"Каким будет результат следующего программного кода:
list = ['1', '2', '3']
s = '+'.join(list[:])*3
print(s)",1+2+31+2+31+2+3,1+2+3+1+2+3+1+2+3,выдаст ошибку,123123123,1
67,PY_HARD,Python Hard,"Каким будет результат следующего программного кода:
s = 'ab12c59p7dq'
digits = []
for symbol in s:
    if '1234567890'.find(symbol) != -1:
        digits.append(int(symbol))
print(sum(digits[1:4]))",24,7,17,16,4
68,PY_HARD,Python Hard,"Каким будет результат следующего программного кода:
A = [1, 2, 3, 4, 5, 6,  7]
A[::-2] = [10, 20, 30, 40]
print(A[::-1])","[7, 6, 5, 4, 3, 2, 1]","[40, 2, 30, 4, 20, 6, 10]","[40, 6, 30, 4, 20, 2, 10]","[10, 6, 20, 4, 30, 2, 40]",4
69,PY_EASY,Python Easy,"Каким будет результат следующего программного кода:
n = 7
a = [i ** 2 for i in range(1, n + 1)]
print(a[n-1::-2])","[49, 25, 9, 1]","[36, 16, 4]","[25, 9, 1]","[49, 36, 25, 16, 9, 4, 1]",1
70,PY_HARD,Python Hard,"Каким будет результат следующего программного кода:
lang= {'ru': 'russian', 'kz': 'kazakh', 'en': 'english', 'other':{'bin': [0,1], 'oct':[0,1,2,3,4,5,6,7], 'dec':[0,1,2,3,4,5,6,7,8,9]}}
print(sum(lang['other']['dec'])%len(lang['en']))",3,5,7,45,1
71,PY_EASY,Python Easy,"Каким будет результат следующего программного кода:
lang= {'bin': [0,1], 'oct':[0,1,2,3,4,5,6,7], 'dec':[0,1,2,3,4,5,6,7,8,9]}
print(len(lang['dec'])//lang['oct'][3])",1,2,3,4,3
72,PY_ML,Python Machine Learning,"Какие параметры есть у алгоритма ""Случайный лес"" (Random Forest)?",скорость сходимости и максимальная глубина дерев,коэффициент регуляризации и число признаков для ветвления,максимальная глубина дерева и число признаков для ветвления,скорость сходимости и коэффициент регуляризации,3
73,DSA1,Python for Data Science,В каких основных объектах хранятся данные в Pandas,Series и DataFrame,List и Dictionary,"Table, Row, Cell","Loc, Iloc",1
74,DSA1,Python for Data Science,В чём отличие между Series и DataFrame,DataFrame состоит из Series,"Series двухмерный, а DataFrame одномерный","Series двухмерный, а DataFrame может иметь произвольную размерность",Series состоит из DataFrame,1
75,DSA1,Python for Data Science,"df = pd.DataFrame({""a"": [-1, 0, 1]})
Чему равен df['a'] > 0?","[False, False, True]",[1],"[False, True, True]",Отфильтрованный DataFrame с одной строкой (третьей),1
76,DSA1,Python for Data Science,В чём отличие функций merge и join в Pandas,"Merge объединяет таблицы по определённому столбцу (key), а join по индексу","Join объединяет таблицы по определённому столбцу (key), а merge по индексу","Join объединяет только методом outer, а Merge любым","Merge объединяет по столбцам, а join по строкам",1
77,DSA1,Python for Data Science,"В Pandas операция merge может работать в одном из 4 режимов: outer, inner, left, right. Что из нижеперечисленного верно?","Если сделать сначал left, а потом right, то результатом всегда будет пустой DataFrame","Inner всегда будет давать в результате не меньше строк, чем outer","Outer всегда будет давать в результате не меньше строк, чем inner","Если сделать сначал left, а потом right, то результатом всегда будет исходный DataFrame",3
78,DSA1,Python for Data Science,"В Pandas операция merge может работать в одном из 4 режимов: outer, inner, left, right.
Всегда ли inner будет давать в результате не больше строк, чем outer",Зависит от типа данных,Зависит от DataFrame,Нет,Да,4
79,DSA1,Python for Data Science,Как можно считать файл формата .xlsx с помощью Pandas?,"pandas.read_csv(""file.xlsx"")","pandas.read_excel(""file.xlsx"")","pandas.read_sqlite(""file.xlsx"")","pandas.read_txt(""file.xlsx"")",2
80,DSA1,Python for Data Science,Какая из этих функций ОТСУТСТВУЕТ в Pandas (в DataFrame)?,Визуализация,Фильтрация данных,Регрессионные модели,Ввод и вывод данных,3
